timestamp,test-class,test-method,time,description,result
2021-05-30 22:24:18.83,acme.testing.administrator.DashBoardTest,assertDashboardForManagerIsForbidden,24081,"assertDashboardForManagerIsForbidden()",OK
2021-05-30 22:27:20.881,acme.testing.authenticated.ListTasksTest,positiveListTasks,49592,"[1] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=0",Cannot find 'By.linkText: Account'
2021-05-30 22:28:57.919,acme.testing.authenticated.ShowTasksTest,positiveShowTask,46577,"[1] title=Title of task 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of task 04, optionalLink=https://www.google.com, iter=0",Cannot find 'By.linkText: Account'
2021-05-30 22:30:36.021,acme.testing.SignUpTest,positiveSignUp,47138,"[1] username=johnny, password=johnny, name=Johnny, surname=López, email=john@mail.com",OK
2021-05-30 22:31:24.389,acme.testing.SignUpTest,positiveSignUp,40068,"[2] username=lorraine, password=lorraine, name=Lorraine, surname=Williams, email=lorraine@yellow-house.com",OK
2021-05-30 22:32:17.868,acme.testing.SignUpTest,positiveSignUp,49158,"[3] username=leslie, password=leslie, name=Leslie Marti, surname=Ramport, email=leslie@us.es",OK
2021-05-30 22:33:10.299,acme.testing.SignUpTest,positiveSignUp,48148,"[4] username=robert, password=robert, name=Robert, surname=Johnson, email=robert@mail.server.com",OK
2021-05-30 22:34:00.616,acme.testing.SignUpTest,positiveSignUp,42012,"[5] username=pepeluis, password=pepeluis, name=José Luis, surname=Sørensen, email=ppepe.sorensen@sweden.sw",OK
2021-05-30 22:34:58.02,acme.testing.SignUpTest,positiveSignUp,50068,"[6] username=luisa, password=luisa, name=Luisa, surname=Martínez López, email=luisa@luisa.name",OK
2021-05-30 22:35:47.3,acme.testing.SignUpTest,positiveSignUp,43984,"[7] username=lukas, password=lukas, name=Lukas, surname=Smith, email=lukas@mail.com",OK
2021-05-30 22:36:36.678,acme.testing.SignUpTest,positiveSignUp,42074,"[8] username=mary-dt, password=mary-dt, name=Mary, surname=Design-Testing, email=mary@email.com",OK
2021-05-30 22:37:36.049,acme.testing.SignUpTest,positiveSignUp,56035,"[9] username=jorge, password=jorge, name=Jorge, surname=Libertad, email=jorge@yahoo.com",OK
2021-05-30 22:38:31.501,acme.testing.SignUpTest,positiveSignUp,50150,"[10] username=sonia, password=sonia, name=Snojia Guðrún, surname=Þor-Anaïs, email=sonja@liberty.de",OK
2021-05-30 22:39:25.812,acme.testing.SignUpTest,positiveSignUp,47981,"[11] username=parker, password=parker, name=Parker Sigurður, surname=Mañón-Perigüeñez, email=parker@outlook.com",OK
2021-05-30 22:40:14.229,acme.testing.SignUpTest,positiveSignUp,44117,"[12] username=manolo, password=manolo, name=Manuel Raúl, surname=Benítez López, email=manolo@engineer.com",OK
